index,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,hallux,toes,met1,met3,met5,arch,heelL,heelR
38,[156.70609131],[154.56559863],[9.25631396],[0.01864211],[0.01704422],[34.90122924],[0.14990234],[2072.10009766],[1381.35009766],[4086],[4088],[4087],[3980],[3925],[3934],[4089],[4084]
39,[156.66778271],[154.50813574],[9.39039404],[0.02982738],[0.01597895],[34.90016397],[0.14990234],[2072.10009766],[1381.35009766],[4094],[4091],[4084],[3956],[3924],[3917],[4090],[4090]
40,[156.61989697],[154.50813574],[9.32814258],[0.02503369],[0.01065264],[34.89377239],[0.14990234],[2110.47509766],[1534.85009766],[4086],[4089],[4094],[3945],[3929],[3898],[4094],[4089]
41,[156.70130273],[154.50813574],[9.26589111],[0.03302317],[0.01118527],[34.89270713],[0.14990234],[1573.22509766],[1419.72509766],[4092],[4091],[4089],[3950],[3919],[3837],[4087],[4088]
42,[156.61989697],[154.56081006],[9.29941113],[0.02396843],[0.00532632],[34.88951134],[0.14990234],[1573.22509766],[1419.72509766],[4094],[4092],[4089],[3947],[3921],[3833],[4085],[4089]
43,[156.53849121],[154.51771289],[9.34729687],[0.02237053],[0.01438106],[34.87992397],[0.14990234],[1649.97509766],[1419.72509766],[4093],[4091],[4085],[3942],[3921],[3841],[4085],[4095]
44,[156.68693701],[154.54165576],[9.23237109],[0.02077264],[0.01331579],[34.89643555],[0.14990234],[1880.22509766],[1189.47509766],[4087],[4091],[4087],[3940],[3926],[3832],[4092],[4090]
45,[156.54806836],[154.47461572],[9.31377686],[0.02290317],[0.00266316],[34.89643555],[0.14990234],[2110.47509766],[1342.97509766],[4093],[4093],[4087],[3911],[3923],[3831],[4088],[4095]
46,[156.72524561],[154.46982715],[9.35208545],[0.01438106],[0.01544632],[34.88897871],[0.14990234],[2110.47509766],[1342.97509766],[4087],[4093],[4087],[3897],[3930],[3827],[4090],[4088]
47,[156.65820557],[154.49855859],[9.27546826],[0.01864211],[0.00745684],[34.88791344],[0.14990234],[2033.72509766],[767.35009766],[4085],[4085],[4087],[3898],[3919],[3831],[4086],[4092]
48,[156.72045703],[154.54165576],[9.323354],[0.00745684],[34.90016397],[0.00213053],[0.14990234],[1880.22509766],[1573.22509766],[4090],[4085],[4092],[3896],[3924],[3837],[4089],[4091]
49,[156.69172559],[154.64700439],[9.42870264],[0.01597895],[0.00319579],[34.89696818],[0.14990234],[1880.22509766],[1573.22509766],[4090],[4093],[4088],[3899],[3925],[3837],[4089],[4095]
50,[156.6342627],[154.43151855],[9.25631396],[0.00053263],[34.9022945],[34.89856608],[0.14990234],[1803.47509766],[1765.10009766],[3934],[4089],[4054],[3885],[3922],[3868],[4093],[4091]
51,[156.68693701],[154.46025],[9.3616626],[0.00639158],[34.89856608],[34.89643555],[0.14990234],[2263.97509766],[1496.47509766],[3930],[4090],[3945],[3886],[3925],[4087],[4088],[4087]
52,[156.73003418],[154.32616992],[9.25631396],[0.00745684],[34.89110923],[34.90282713],[0.14990234],[2263.97509766],[1496.47509766],[3894],[4094],[3944],[3883],[3923],[4091],[4090],[4087]
53,[156.84017139],[154.52729004],[9.31377686],[0.01384843],[34.88471765],[0.],[0.14990234],[1803.47509766],[1381.35009766],[3887],[4090],[3930],[3874],[3920],[4092],[4091],[4084]
54,[156.68214844],[154.54165576],[9.24673682],[0.00532632],[34.88205449],[34.90495766],[0.14990234],[1995.35009766],[1381.35009766],[3886],[4095],[3929],[3851],[3924],[4092],[4087],[4087]
55,[156.66299414],[154.36926709],[9.3616626],[0.01278316],[34.89004397],[34.89537029],[0.14990234],[1995.35009766],[1381.35009766],[3833],[4085],[3927],[3852],[3925],[4088],[4092],[4088]
56,[156.73482275],[154.56559863],[9.24673682],[0.00798948],[34.90016397],[34.90602292],[0.14990234],[1995.35009766],[1381.35009766],[3825],[4083],[3929],[3848],[3928],[4092],[4088],[4087]
57,[156.85453711],[154.49377002],[9.28983398],[34.90442503],[0.00479369],[34.90122924],[0.14990234],[1995.35009766],[1381.35009766],[3820],[4091],[3928],[3875],[3922],[4087],[4090],[4090]
58,[156.73961133],[154.55123291],[9.36645117],[0.00585895],[0.01704422],[34.90122924],[0.14990234],[1726.72509766],[1419.72509766],[3825],[4094],[3919],[3879],[3924],[4095],[4086],[4091]
59,[156.67735986],[154.55123291],[9.42870264],[0.0117179],[0.01704422],[34.89963134],[0.14990234],[1726.72509766],[1419.72509766],[3816],[4086],[3925],[3876],[3919],[4086],[4087],[4089]
60,[156.63905127],[154.53207861],[9.22758252],[0.02609896],[0.01597895],[34.89750082],[0.14990234],[2148.85009766],[1496.47509766],[3810],[4090],[3918],[3878],[3927],[4086],[4088],[4092]
61,[156.56722266],[154.51292432],[9.26110254],[0.02396843],[0.00213053],[34.89803345],[0.14990234],[1688.35009766],[1074.35009766],[3821],[4089],[3922],[3883],[3920],[4093],[4087],[4095]
62,[156.75397705],[154.49855859],[9.27546826],[0.01544632],[0.01384843],[0.00053263],[0.14990234],[2110.47509766],[1342.97509766],[3822],[4088],[3930],[3883],[3919],[4084],[4090],[4089]
63,[156.69651416],[154.57996436],[9.29941113],[0.02609896],[0.02237053],[34.90282713],[0.14990234],[2110.47509766],[1342.97509766],[3822],[4092],[3928],[3879],[3919],[4087],[4087],[4090]
64,[156.73003418],[154.57038721],[9.29941113],[0.0234358],[0.01757685],[34.89377239],[0.14990234],[2072.10009766],[1266.22509766],[3841],[4090],[3929],[3891],[3923],[4093],[4086],[4095]
65,[156.6151084],[154.60390723],[9.24194824],[0.02396843],[0.00958737],[34.90069661],[0.14990234],[1880.22509766],[1496.47509766],[3861],[4095],[3944],[3885],[3924],[4089],[4087],[4093]
66,[156.70609131],[154.39799854],[9.37602832],[0.02396843],[0.01278316],[34.90016397],[0.14990234],[1880.22509766],[1496.47509766],[3891],[4093],[3946],[3892],[3927],[4092],[4088],[4083]
67,[156.62468555],[154.51292432],[9.29462256],[0.02982738],[34.90335976],[34.90335976],[0.14990234],[1880.22509766],[1880.22509766],[4011],[4087],[4075],[3895],[3921],[4095],[4089],[4094]
68,[156.67735986],[154.42194141],[9.25152539],[0.01970738],[0.01065264],[0.00053263],[0.14990234],[1573.22509766],[1419.72509766],[4088],[4087],[4094],[3904],[3928],[4087],[4092],[4088]
69,[156.70609131],[154.54644434],[9.26589111],[0.0234358],[0.00639158],[34.89750082],[0.14990234],[1841.85009766],[1342.97509766],[4086],[4092],[4086],[3939],[3923],[4090],[4090],[4087]
70,[156.66778271],[154.6086958],[9.38081689],[0.02237053],[0.01331579],[34.90442503],[0.14990234],[1841.85009766],[1342.97509766],[4091],[4094],[4086],[3952],[3926],[4091],[4087],[4090]
71,[156.68693701],[154.59433008],[9.19885107],[0.01118527],[0.02077264],[0.00479369],[0.14990234],[2072.10009766],[1688.35009766],[4084],[4090],[4092],[3951],[3928],[4085],[4094],[4092]
72,[156.66778271],[154.48898145],[9.24673682],[0.00585895],[0.03195791],[34.90602292],[0.14990234],[2033.72509766],[1419.72509766],[4090],[4094],[4092],[3972],[3937],[4087],[4089],[4091]
73,[156.72524561],[154.51771289],[9.27067969],[0.00426105],[0.02716422],[0.00532632],[0.14990234],[2033.72509766],[1419.72509766],[4091],[4095],[4092],[4095],[3933],[4093],[4087],[4091]
74,[156.58637695],[154.38842139],[9.29462256],[0.00479369],[0.03728422],[0.00266316],[0.14990234],[1649.97509766],[1227.85009766],[4088],[4088],[4091],[4093],[3938],[4085],[4087],[4095]
75,[156.62947412],[154.57996436],[9.24194824],[0.0117179],[0.0335558],[0.0015979],[0.14990234],[1880.22509766],[1496.47509766],[4090],[4087],[4087],[4092],[3933],[4087],[4091],[4094]
76,[156.53849121],[154.58475293],[9.38081689],[0.01331579],[0.0335558],[34.90442503],[0.14990234],[2033.72509766],[1419.72509766],[4079],[4090],[4090],[4088],[3946],[4087],[4093],[4088]
77,[156.68693701],[154.58475293],[9.20842822],[0.0117179],[0.0218379],[34.90495766],[0.14990234],[2033.72509766],[1419.72509766],[4088],[4087],[4092],[4086],[3940],[4087],[4093],[4088]
78,[156.5959541],[154.58475293],[9.41433691],[0.00639158],[0.01278316],[34.89537029],[0.14990234],[1803.47509766],[1688.35009766],[4088],[4087],[4091],[4094],[3938],[4087],[4090],[4090]
79,[156.68214844],[154.50813574],[9.30419971],[0.00798948],[0.01704422],[34.89803345],[0.14990234],[1726.72509766],[1227.85009766],[4094],[4092],[4088],[4092],[3935],[4092],[4088],[4095]
80,[156.58158838],[154.48419287],[9.41912549],[0.00639158],[0.00426105],[34.89909871],[0.14990234],[1726.72509766],[1227.85009766],[4088],[4091],[4092],[4093],[3935],[4092],[4086],[4085]
81,[156.74918848],[154.43630713],[9.27546826],[34.89643555],[0.00639158],[34.89590292],[0.14990234],[1880.22509766],[1266.22509766],[4087],[4090],[4086],[3974],[3932],[4086],[4083],[4087]
82,[156.76834277],[154.57038721],[9.19885107],[34.88578292],[0.01331579],[34.89856608],[0.14990234],[1611.60009766],[1266.22509766],[4089],[4087],[4087],[3975],[3938],[4091],[4083],[4095]
83,[156.72045703],[154.49855859],[9.3425083],[34.9038924],[0.02396843],[34.89963134],[0.14990234],[1726.72509766],[1227.85009766],[4086],[4091],[4095],[3952],[3936],[4088],[4090],[4086]
84,[156.73482275],[154.55602148],[9.25152539],[34.8905766],[0.04261054],[34.90069661],[0.14990234],[1726.72509766],[1227.85009766],[4091],[4089],[4088],[3934],[3937],[4088],[4087],[4087]
85,[156.7443999],[154.55602148],[9.323354],[34.86820607],[0.04420844],[34.9022945],[0.14990234],[2072.10009766],[1266.22509766],[4092],[4093],[4018],[3908],[3931],[4088],[4087],[4090]
86,[156.73003418],[153.87604395],[9.28025684],[34.76327761],[0.08096003],[34.84317238],[0.14990234],[1995.35009766],[1496.47509766],[4087],[4089],[3985],[3896],[3936],[4091],[4091],[4087]
87,[156.58637695],[154.35011279],[8.94026807],[34.80215973],[0.04793686],[34.86394501],[0.14990234],[1995.35009766],[1496.47509766],[4083],[4085],[3948],[3897],[3930],[4087],[4091],[4088]
88,[156.49539404],[154.46503857],[9.15575391],[0.02503369],[0.02716422],[34.87353239],[0.14990234],[1880.22509766],[1381.35009766],[4088],[4091],[3946],[3898],[3937],[4087],[4092],[4088]
89,[156.65820557],[154.40757568],[9.21800537],[34.78298499],[34.86767344],[34.87672818],[0.14990234],[1995.35009766],[1573.22509766],[4092],[4090],[3941],[3892],[3931],[4086],[4085],[4090]
90,[156.7443999],[154.20645557],[9.86925146],[0.06018739],[34.85968396],[34.86341238],[0.14990234],[1918.60009766],[1573.22509766],[4088],[4095],[3934],[3892],[3935],[4089],[4089],[4083]
91,[156.50497119],[154.38363281],[8.94505664],[0.05273055],[34.82293237],[34.88098923],[0.14990234],[1918.60009766],[1534.85009766],[4088],[4095],[3934],[3897],[3931],[4095],[4086],[4094]
92,[156.5959541],[154.48419287],[9.16054248],[34.8469008],[34.79523552],[34.87992397],[0.14990234],[1841.85009766],[1342.97509766],[4090],[4089],[3938],[3891],[3936],[4083],[4095],[4092]
93,[156.67257129],[154.49377002],[9.25631396],[0.05379581],[34.80908394],[34.86554291],[0.14990234],[2148.85009766],[1381.35009766],[4094],[4092],[3932],[3893],[3934],[4084],[4092],[4093]
94,[156.81143994],[154.61827295],[9.33293115],[34.88631555],[34.81813868],[34.86287975],[0.14990234],[2148.85009766],[1381.35009766],[4094],[4091],[3937],[3893],[3932],[4086],[4086],[4088]
95,[0.01436572],[154.26391846],[9.39997119],[34.89909871],[34.87299975],[34.87672818],[0.14990234],[2033.72509766],[1611.60009766],[4086],[4087],[3943],[3896],[3932],[4088],[4090],[4087]
96,[156.78749707],[154.46025],[9.18448535],[0.01970738],[0.02663159],[34.90069661],[0.14990234],[2302.35009766],[1611.60009766],[4095],[4090],[3943],[3893],[3927],[4095],[4087],[4093]
97,[156.72524561],[154.39320996],[9.33771973],[34.90495766],[0.03728422],[0.00745684],[0.14990234],[2302.35009766],[1611.60009766],[4088],[4089],[3961],[3896],[3939],[4084],[4091],[4088]
98,[156.7827085],[154.48419287],[9.23715967],[0.07456845],[0.04633896],[0.03142527],[0.14990234],[1880.22509766],[1266.22509766],[4088],[4089],[4080],[3904],[3931],[4086],[4093],[4090]
99,[156.82101709],[154.59911865],[9.23715967],[0.06391581],[0.03994738],[0.04633896],[0.14990234],[2033.72509766],[1342.97509766],[4088],[4094],[4088],[3900],[3928],[4088],[4090],[4087]
100,[156.67257129],[154.34053564],[9.41912549],[0.01757685],[0.05379581],[0.01651158],[0.14990234],[2379.10009766],[1342.97509766],[4095],[4090],[4089],[3923],[3928],[4095],[4092],[4094]
101,[156.63905127],[154.08195264],[8.99294238],[0.21731376],[34.90442503],[0.06125265],[0.14990234],[2379.10009766],[1342.97509766],[4089],[4092],[4085],[3957],[3934],[4092],[4085],[4086]
102,[156.56243408],[154.52250146],[9.28504541],[0.21518323],[0.03675159],[34.8905766],[0.14990234],[2033.72509766],[1419.72509766],[4090],[4091],[4090],[3960],[3933],[4085],[4089],[4094]
103,[156.74918848],[153.8664668],[9.70165137],[0.26738115],[34.88205449],[0.02822948],[0.14990234],[1995.35009766],[1688.35009766],[4088],[4092],[4092],[4055],[3936],[4086],[4090],[4088]
104,[156.77313135],[154.72362158],[8.73435938],[0.23222745],[0.09321056],[34.88418502],[0.14990234],[1995.35009766],[1688.35009766],[4092],[4090],[4087],[4088],[3937],[4091],[4085],[4088]
105,[156.70609131],[154.89122168],[9.70643994],[34.84157448],[0.15552848],[0.0117179],[0.14990234],[1880.22509766],[1381.35009766],[4094],[4087],[4089],[4085],[3936],[4087],[4084],[4088]
106,[156.43793115],[154.13462695],[8.94026807],[0.06604634],[0.12676636],[0.00798948],[0.14990234],[1918.60009766],[1611.60009766],[4090],[4091],[4092],[4095],[3935],[4095],[4092],[4093]
107,[156.60553125],[154.81939307],[9.37602832],[0.11504846],[0.07350318],[34.89110923],[0.14990234],[1726.72509766],[1419.72509766],[4093],[4092],[4088],[4087],[3934],[4091],[4089],[4094]
108,[156.49539404],[154.29743848],[9.4717998],[34.84157448],[0.0015979],[34.89750082],[0.14990234],[1726.72509766],[1419.72509766],[4091],[4091],[4089],[4089],[3939],[4094],[4092],[4093]
109,[156.63905127],[154.27349561],[9.30419971],[0.08468845],[34.87246712],[34.89750082],[0.14990234],[1688.35009766],[1381.35009766],[4091],[4087],[4090],[4095],[3935],[4095],[4089],[4095]
110,[156.68693701],[154.89601025],[9.15096533],[0.05432844],[34.86447765],[0.00372842],[0.14990234],[1918.60009766],[1534.85009766],[4089],[4090],[4094],[4090],[3942],[4090],[4089],[4088]
111,[156.75397705],[154.1250498],[9.35208545],[0.01491369],[34.90495766],[34.9022945],[0.14990234],[1918.60009766],[1534.85009766],[4091],[4094],[4086],[4092],[3940],[4088],[4088],[4091]
112,[156.83059424],[154.46503857],[9.57714844],[0.11025478],[0.0234358],[34.89856608],[0.14990234],[2110.47509766],[1227.85009766],[4088],[4088],[4091],[4090],[3943],[4088],[4088],[4090]
113,[156.62947412],[154.65179297],[9.18927393],[0.01544632],[0.06391581],[0.00053263],[0.14990234],[1688.35009766],[1189.47509766],[4093],[4089],[4091],[4087],[3936],[4089],[4087],[4086]
114,[156.51933691],[154.29743848],[9.35208545],[0.00852211],[0.05273055],[34.90282713],[0.14990234],[2033.72509766],[1611.60009766],[4095],[4091],[4086],[4092],[3940],[4085],[4087],[4091]
115,[156.70609131],[154.55123291],[9.38081689],[0.07030739],[0.03302317],[34.90335976],[0.14990234],[2033.72509766],[1611.60009766],[4091],[4091],[4092],[4095],[3940],[4094],[4088],[4093]
116,[156.69172559],[154.58475293],[9.42391406],[0.02716422],[0.04474107],[34.9022945],[0.14990234],[1803.47509766],[1266.22509766],[4087],[4090],[4093],[4091],[3940],[4095],[4088],[4091]
117,[156.73482275],[154.42672998],[9.30898828],[0.02929475],[0.03568633],[34.89537029],[0.14990234],[1649.97509766],[1342.97509766],[4092],[4093],[4088],[4090],[3937],[4086],[4088],[4089]
118,[156.75397705],[154.51771289],[9.28504541],[0.05219791],[0.03834949],[34.89323976],[0.14990234],[1649.97509766],[1342.97509766],[4095],[4095],[4092],[4095],[3940],[4091],[4088],[4092]
119,[156.68693701],[154.6086958],[9.3616626],[0.02769685],[0.04846949],[34.89856608],[0.14990234],[1918.60009766],[1227.85009766],[4089],[4092],[4093],[4092],[3939],[4087],[4087],[4091]
120,[156.64383984],[154.64221582],[9.31856543],[0.02929475],[0.04207791],[34.89909871],[0.14990234],[1688.35009766],[1573.22509766],[4093],[4095],[4089],[4087],[3945],[4090],[4090],[4093]
121,[156.5767998],[154.49377002],[9.22758252],[0.03142527],[0.03621896],[34.90176187],[0.14990234],[1688.35009766],[1573.22509766],[4095],[4089],[4093],[4091],[3945],[4089],[4083],[4087]
122,[156.61989697],[154.48898145],[9.24194824],[0.02024001],[0.01438106],[0.],[0.14990234],[2340.72509766],[1496.47509766],[4088],[4088],[4093],[4092],[3962],[4083],[4089],[4091]
123,[156.64383984],[154.55123291],[9.3425083],[0.03089264],[0.00639158],[34.90282713],[0.14990234],[1880.22509766],[1189.47509766],[4089],[4091],[4089],[4092],[4045],[4087],[4087],[4088]
124,[156.70130273],[154.51292432],[9.28983398],[0.02130527],[0.02130527],[34.89963134],[0.14990234],[2072.10009766],[1074.35009766],[4091],[4090],[4087],[4095],[4087],[4095],[4086],[4095]
125,[156.72524561],[154.45546143],[9.32814258],[0.02556632],[0.02822948],[34.9022945],[0.14990234],[2072.10009766],[1074.35009766],[4088],[4089],[4095],[4088],[4095],[4089],[4093],[4083]
126,[156.6151084],[154.48898145],[9.30898828],[0.02130527],[0.03302317],[34.90549029],[0.14990234],[1688.35009766],[1381.35009766],[4093],[4095],[4087],[4083],[4089],[4088],[4088],[4088]
127,[156.72045703],[154.50334717],[9.41433691],[0.01704422],[0.02024001],[34.90122924],[0.14990234],[2263.97509766],[1189.47509766],[4095],[4095],[4092],[4092],[4093],[4087],[4087],[4088]
128,[156.52891406],[154.56081006],[9.24194824],[0.01917474],[0.01864211],[34.90549029],[0.14990234],[2263.97509766],[1189.47509766],[4088],[4086],[4090],[4090],[4093],[4089],[4092],[4086]
129,[156.71566846],[154.48419287],[9.33771973],[0.00798948],[0.02024001],[34.90602292],[0.14990234],[1918.60009766],[1419.72509766],[4092],[4089],[4089],[4087],[4088],[4090],[4086],[4089]
130,[156.68214844],[154.5895415],[9.37602832],[0.01491369],[0.02077264],[34.90602292],[0.14990234],[1649.97509766],[1611.60009766],[4095],[4093],[4086],[4095],[4090],[4087],[4084],[4091]
131,[156.66299414],[154.55123291],[9.31377686],[0.01597895],[0.01651158],[0.00639158],[0.14990234],[2033.72509766],[1419.72509766],[4091],[4093],[4086],[4088],[4091],[4095],[4088],[4094]
132,[156.65820557],[154.52729004],[9.25631396],[0.01012],[0.02663159],[0.00798948],[0.14990234],[2033.72509766],[1419.72509766],[4095],[4091],[4094],[4093],[4091],[4087],[4085],[4088]
133,[156.74918848],[154.55123291],[9.42391406],[0.00639158],[0.03408843],[34.90442503],[0.14990234],[2455.85009766],[1266.22509766],[4095],[4095],[4089],[4095],[4090],[4095],[4086],[4086]
134,[156.70609131],[154.57038721],[9.35687402],[0.01225053],[0.03675159],[34.90282713],[0.14990234],[1918.60009766],[1611.60009766],[4086],[4088],[4088],[4087],[4095],[4087],[4091],[4094]
135,[156.71566846],[154.61348438],[9.33293115],[0.01331579],[0.04154528],[34.90442503],[0.14990234],[1918.60009766],[1611.60009766],[4091],[4090],[4085],[4095],[4090],[4091],[4088],[4085]
136,[156.63905127],[154.52729004],[9.39997119],[0.00852211],[0.05113265],[34.90282713],[0.14990234],[1995.35009766],[1573.22509766],[4090],[4095],[4090],[4086],[4092],[4086],[4092],[4092]
137,[156.69172559],[154.58475293],[9.37602832],[34.90176187],[0.06444844],[34.90442503],[0.14990234],[2033.72509766],[1227.85009766],[4084],[4090],[4094],[4086],[4091],[4092],[4092],[4090]
138,[156.69651416],[154.52729004],[9.15096533],[34.89430502],[0.06817687],[34.9038924],[0.14990234],[1880.22509766],[1381.35009766],[4089],[4093],[4088],[4094],[4090],[4095],[4084],[4000]
139,[156.70609131],[154.43151855],[9.16533105],[34.88844608],[0.08309056],[34.90176187],[0.14990234],[1880.22509766],[1381.35009766],[4085],[4089],[4092],[4090],[4093],[4087],[4091],[3946]
